Time (sec),Usl(m/s),Usg(m/s),Vf,bins,Freq.,PDF,Hl
0,0.05,0.047,0.1054,0.01,0,0,0.8946
0.005,0.05,0.047,0.1031,0.02,0,0,0.8969
0.01,0.05,0.047,0.1047,0.03,0,0,0.8953
0.015,0.05,0.047,0.1028,0.04,0,0,0.8972
0.02,0.05,0.047,0.1036,0.05,0,0,0.8964
0.025,0.05,0.047,0.1019,0.06,0,0,0.8981
0.03,0.05,0.047,0.1024,0.07,19,0.001583333,0.8976
0.035,0.05,0.047,0.1012,0.08,413,0.034416667,0.8988
0.04,0.05,0.047,0.1025,0.09,1549,0.129083333,0.8975
0.045,0.05,0.047,0.1009,0.1,2357,0.196416667,0.8991
0.05,0.05,0.047,0.1023,0.11,2338,0.194833333,0.8977
0.055,0.05,0.047,0.101,0.12,1388,0.115666667,0.899
0.06,0.05,0.047,0.1036,0.13,622,0.051833333,0.8964
0.065,0.05,0.047,0.1045,0.14,299,0.024916667,0.8955
0.07,0.05,0.047,0.1095,0.15,201,0.01675,0.8905
0.075,0.05,0.047,0.1144,0.16,171,0.01425,0.8856
0.08,0.05,0.047,0.125,0.17,125,0.010416667,0.875
0.085,0.05,0.047,0.1348,0.18,125,0.010416667,0.8652
0.09,0.05,0.047,0.1494,0.19,92,0.007666667,0.8506
0.095,0.05,0.047,0.1651,0.2,93,0.00775,0.8349
0.1,0.05,0.047,0.1877,0.21,89,0.007416667,0.8123
0.105,0.05,0.047,0.2079,0.22,87,0.00725,0.7921
0.11,0.05,0.047,0.2342,0.23,69,0.00575,0.7658
0.115,0.05,0.047,0.2607,0.24,98,0.008166667,0.7393
0.12,0.05,0.047,0.2931,0.25,79,0.006583333,0.7069
0.125,0.05,0.047,0.3187,0.26,56,0.004666667,0.6813
0.13,0.05,0.047,0.3471,0.27,80,0.006666667,0.6529
0.135,0.05,0.047,0.3719,0.28,63,0.00525,0.6281
0.14,0.05,0.047,0.3979,0.29,80,0.006666667,0.6021
0.145,0.05,0.047,0.4173,0.3,73,0.006083333,0.5827
